Time(s),Current(A),Voltage(V)
3549.9999999999927,-3.899824521248188,2.24818799115
3560.0,-3.899824521248188,2.246967269398
3570.0000000000073,-3.899977111467155,2.245899137865
3579.9999999999927,-3.899977111467155,2.244525825895
3590.0,-3.900053406576638,2.243152513924
3600.0000000000073,-3.899977111467155,2.241931792172
3609.9999999999927,-3.900053406576638,2.24071107042
3620.0,-3.899824521248188,2.239642938888
3630.0000000000073,-3.899824521248188,2.238117036698
3639.9999999999927,-3.900053406576638,2.237048905165
3650.0,-3.899900816357671,2.235675593194
3660.0000000000073,-3.899977111467155,2.234607461662
3669.9999999999927,-3.899900816357671,2.233081559472
3680.0,-3.900053406576638,2.231708247501
3690.0000000000073,-3.899977111467155,2.23048752575
3699.9999999999927,-3.900053406576638,2.229419394217
3710.0,-3.899824521248188,2.227740901808
3720.0000000000073,-3.899824521248188,2.226825360494
3729.9999999999927,-3.899900816357671,2.225299458305
3740.0,-3.899977111467155,2.224231326772
3750.0000000000073,-3.899900816357671,2.222705424582
3759.9999999999927,-3.900053406576638,2.22163729305
3770.0,-3.899977111467155,2.220263981079
3780.0000000000073,-3.899900816357671,2.219043259327
3789.9999999999927,-3.9001297016861223,2.217517357137
3800.0,-3.899900816357671,2.216144045167
3810.0000000000073,-3.899900816357671,2.215075913634
3819.9999999999927,-3.899977111467155,2.213550011444
3830.0,-3.9001297016861223,2.212176699474
3840.0000000000073,-3.899977111467155,2.210498207065
3849.9999999999927,-3.899900816357671,2.209582665751
3860.0,-3.899977111467155,2.20820935378
3870.0000000000073,-3.899900816357671,2.206988632029
3879.9999999999927,-3.899900816357671,2.205462729839
3890.0,-3.899977111467155,2.204394598306
3900.0000000000073,-3.899900816357671,2.202868696117
3909.9999999999927,-3.899900816357671,2.201647974365
3920.0,-3.899977111467155,2.200122072175
3930.0000000000073,-3.899900816357671,2.198901350423
3939.9999999999927,-3.899824521248188,2.197528038453
3950.0,-3.899977111467155,2.196307316701
3960.0000000000073,-3.900053406576638,2.19493400473
3969.9999999999927,-3.899900816357671,2.194018463416
3980.0,-3.899977111467155,2.192187380789
3990.0000000000073,-3.899977111467155,2.191119249256
3999.9999999999927,-3.899900816357671,2.189898527504
4010.0,-3.899748226138704,2.188525215534
4020.0000000000073,-3.899900816357671,2.187151903563
