Time(s),Current(A),Voltage(V)
3010.0,3.899824521248188,2.228046082246
3020.0,3.899977111467155,2.228503852903
3030.0,3.900053406576638,2.228351262684
3040.0,3.899824521248188,2.228351262684
3050.0,3.899824521248188,2.228503852903
3060.0,3.899824521248188,2.228351262684
3070.0,3.899977111467155,2.228351262684
3080.0,3.899900816357671,2.228503852903
3090.0,3.899900816357671,2.228351262684
3100.0,3.900053406576638,2.228351262684
3110.0,3.899977111467155,2.228656443122
3120.0,3.899977111467155,2.22896162356
3130.0,3.899824521248188,2.228656443122
3140.0,3.899977111467155,2.228656443122
3150.0,3.899900816357671,2.228809033341
3160.0,3.899748226138704,2.22896162356
3170.0,3.899748226138704,2.22896162356
3180.0,3.900053406576638,2.228809033341
3190.0,3.899977111467155,2.228809033341
3200.0,3.899824521248188,2.22896162356
3210.0,3.899900816357671,2.22896162356
3220.0,3.899977111467155,2.22896162356
3230.0,3.900053406576638,2.229114213779
3240.0,3.899977111467155,2.229266803998
3250.0,3.899900816357671,2.229266803998
3260.0,3.899824521248188,2.229266803998
3270.0,3.900053406576638,2.229571984436
3280.0,3.899900816357671,2.229419394217
3290.0,3.900053406576638,2.229419394217
3300.0,3.900053406576638,2.229724574655
3310.0,3.899977111467155,2.229571984436
3320.0,3.899977111467155,2.229419394217
3330.0,3.900053406576638,2.229724574655
3340.0,3.899900816357671,2.229724574655
3350.0,3.899900816357671,2.229877164874
3360.0,3.9001297016861223,2.229724574655
3370.0,3.899748226138704,2.229724574655
3380.0,3.899900816357671,2.229724574655
3390.0,3.899824521248188,2.229877164874
3400.0,3.899748226138704,2.230182345312
3410.0,3.899900816357671,2.229877164874
3420.0,3.899977111467155,2.229877164874
3430.0,3.899824521248188,2.230182345312
3440.0,3.899824521248188,2.230029755093
3450.0,3.899900816357671,2.23048752575
3460.0,3.899977111467155,2.23048752575
3470.0,3.900053406576638,2.230334935531
3480.0,3.899977111467155,2.230029755093
3490.0,3.899900816357671,2.230640115969
3500.0,3.900053406576638,2.230792706188
3510.0,3.899900816357671,2.230334935531
3520.0,3.899900816357671,2.230640115969
3530.0,3.899977111467155,2.230792706188
3540.0,3.899977111467155,2.230640115969
3550.0,3.899824521248188,2.230945296407
3560.0,3.899900816357671,2.230945296407
3570.0,3.899900816357671,2.230945296407
3580.0,3.899977111467155,2.230792706188
3590.0,3.899900816357671,2.230945296407
3600.0,3.900053406576638,2.230792706188
3610.0,3.899977111467155,2.230945296407
3620.0,3.900053406576638,2.230945296407
3630.0,3.900053406576638,2.231097886625
3640.0,3.899900816357671,2.231097886625
3650.0,3.899900816357671,2.231403067063
3660.0,3.899977111467155,2.231403067063
3670.0,3.899900816357671,2.231250476844
3680.0,3.899900816357671,2.231250476844
3690.0,3.899748226138704,2.231250476844
3700.0,3.899900816357671,2.231403067063
3710.0,3.9002059967956053,2.231250476844
3720.0,3.899900816357671,2.231555657282
3730.0,3.900053406576638,2.231403067063
3740.0,3.900053406576638,2.231555657282
3750.0,3.899748226138704,2.231555657282
3760.0,3.899824521248188,2.231403067063
3770.0,3.899977111467155,2.231403067063
3780.0,3.9001297016861223,2.231403067063
3790.0,3.899900816357671,2.231708247501
3800.0,3.899900816357671,2.23186083772
3810.0,3.899977111467155,2.232013427939
3820.0,3.899977111467155,2.23186083772
3830.0,3.9001297016861223,2.23186083772
3840.0,3.899824521248188,2.232013427939
3850.0,3.899977111467155,2.23186083772
